year	age	agesq	nbh	cbd	intst	lintst	price	rooms	area	land	baths	dist	ldist	wind	lprice	y81	larea	lland	y81ldist	lintstsq	nearinc	y81nrinc	rprice	lrprice
1978	48	2304	4	3000	1000	6.907800197601318	60000	7	1660	4578	1	10700	9.277998924255371	3	11.002099990844727	0	7.4145731925964355	8.429017066955566	0	47.71770095825195	1	0	60000	11.002099990844727
1978	83	6889	4	4000	1000	6.907800197601318	40000	6	2612	8370	2	11000	9.30565071105957	3	10.596630096435547	0	7.867870807647705	9.032408714294434	0	47.71770095825195	1	0	40000	10.596630096435547
1978	58	3364	4	4000	1000	6.907800197601318	34000	6	1144	5000	1	11500	9.350102424621582	3	10.434120178222656	0	7.042285919189453	8.517192840576172	0	47.71770095825195	1	0	34000	10.434120178222656
1978	11	121	4	4000	1000	6.907800197601318	63900	5	1136	10000	1	11900	9.384293556213379	3	11.065070152282715	0	7.035268783569336	9.210339546203613	0	47.71770095825195	1	0	63900	11.065070152282715
1978	48	2304	4	4000	2000	7.600900173187256	44000	5	1868	10000	1	12100	9.400960922241211	3	10.691949844360352	0	7.532623767852783	9.210339546203613	0	57.773681640625	1	0	44000	10.691949844360352
1978	78	6084	4	3000	2000	7.600900173187256	46000	6	1780	9500	3	10000	9.210339546203613	3	10.73639965057373	0	7.484368801116943	9.15904712677002	0	57.773681640625	1	0	46000	10.73639965057373
1978	22	484	4	4000	2000	7.600900173187256	56000	6	1700	10878	2	11700	9.36734390258789	3	10.933110237121582	0	7.438384056091309	9.294496536254883	0	57.773681640625	1	0	56000	10.933110237121582
1978	78	6084	4	3000	2000	7.600900173187256	38500	6	1556	3870	2	10200	9.230142593383789	3	10.558409690856934	0	7.349874019622803	8.26101016998291	0	57.773681640625	1	0	38500	10.558409690856934
1978	42	1764	4	3000	2000	7.600900173187256	60500	8	1642	7000	2	10500	9.25913143157959	3	11.01039981842041	0	7.403669834136963	8.853665351867676	0	57.773681640625	1	0	60500	11.01039981842041
1978	41	1681	4	3000	2000	7.600900173187256	55000	5	1443	7950	2	11000	9.30565071105957	3	10.91508960723877	0	7.274478912353516	8.980927467346191	0	57.773681640625	1	0	55000	10.91508960723877
1978	78	6084	4	1000	4000	8.293999671936035	39000	6	1439	4990	1	8600	9.059516906738281	3	10.571319580078125	0	7.271704196929932	8.515191078186035	0	68.7904281616211	1	0	39000	10.571319580078125
1978	38	1444	0	6000	4000	8.293999671936035	41000	5	1482	8017	1	12200	9.409191131591797	3	10.621330261230469	0	7.301147937774658	8.989319801330566	0	68.7904281616211	1	0	41000	10.621330261230469
1978	18	324	0	5000	4000	8.293999671936035	50900	6	1290	12538	2	12400	9.42545223236084	3	10.83761978149414	0	7.1623969078063965	9.436519622802734	0	68.7904281616211	1	0	50900	10.83761978149414
1978	32	1024	0	9000	7000	8.853699684143066	52000	6	1274	7858	1	16800	9.729133605957031	3	10.859000205993652	0	7.149917125701904	8.969287872314453	0	78.38800048828125	0	0	52000	10.859000205993652
