200.000	  4.770	  2.100
200.004	  4.820	  2.135
200.008	  4.805	  2.190
200.012	  4.750	  2.285
200.016	  4.710	  2.440
200.020	  4.695	  2.620
200.024	  4.685	  2.805
200.028	  4.675	  3.045
200.032	  4.680	  3.365
200.036	  4.685	  3.695
200.040	  4.675	  3.970
200.044	  4.670	  4.240
200.048	  4.670	  4.530
200.052	  4.680	  4.800
200.056	  4.665	  5.025
200.060	  4.645	  5.215
200.064	  4.635	  5.400
200.068	  4.635	  5.575
200.072	  4.655	  5.715
200.076	  4.660	  5.795
200.080	  4.650	  5.865
200.084	  4.660	  5.925
200.088	  4.675	  5.980
200.092	  4.675	  6.020
200.096	  4.655	  6.060
200.100	  4.660	  6.080
200.104	  4.680	  6.145
200.108	  4.675	  6.180
200.112	  4.655	  6.220
200.116	  4.650	  6.275
200.120	  4.675	  6.320
200.124	  4.665	  6.355
200.128	  4.645	  6.380
200.132	  4.640	  6.450
200.136	  4.655	  6.490
200.140	  4.645	  6.530
200.144	  4.625	  6.575
200.148	  4.625	  6.645
200.152	  4.635	  6.700
200.156	  4.650	  6.735
200.160	  4.625	  6.780
200.164	  4.635	  6.835
200.168	  4.650	  6.885
200.172	  4.660	  6.920
200.176	  4.650	  6.945
200.180	  4.650	  6.985
200.184	  4.660	  7.010
200.188	  4.680	  7.035
200.192	  4.675	  7.050
200.196	  4.695	  7.065
200.200	  4.705	  7.070
200.204	  4.730	  7.085
200.208	  4.730	  7.065
200.212	  4.730	  7.045
200.216	  4.750	  7.030
200.220	  4.770	  6.995
200.224	  4.785	  6.940
200.228	  4.785	  6.885
200.232	  4.805	  6.835
200.236	  4.815	  6.775
200.240	  4.835	  6.690
200.244	  4.835	  6.600
200.248	  4.840	  6.535
200.252	  4.870	  6.455
200.256	  4.880	  6.360
200.260	  4.880	  6.270
200.264	  4.885	  6.195
200.268	  4.890	  6.115
200.272	  4.895	  6.030
200.276	  4.885	  5.945
200.280	  4.885	  5.880
200.284	  4.885	  5.815
200.288	  4.890	  5.750
200.292	  4.890	  5.680
200.296	  4.870	  5.625
200.300	  4.870	  5.610
200.304	  4.880	  5.540
200.308	  4.875	  5.490
200.312	  4.860	  5.450
200.316	  4.860	  5.425
200.320	  4.870	  5.385
200.324	  4.860	  5.340
200.328	  4.845	  5.310
200.332	  4.850	  5.300
200.336	  4.860	  5.290
200.340	  4.850	  5.265
200.344	  4.830	  5.235
200.348	  4.845	  5.230
200.352	  4.845	  5.225
200.356	  4.845	  5.205
200.360	  4.830	  5.195
200.364	  4.830	  5.180
200.368	  4.840	  5.190
200.372	  4.845	  5.175
200.376	  4.830	  5.155
200.380	  4.830	  5.145
200.384	  4.840	  5.170
200.388	  4.855	  5.165
200.392	  4.840	  5.150
200.396	  4.830	  5.150
200.400	  4.835	  5.150
200.404	  4.855	  5.145
200.408	  4.845	  5.145
200.412	  4.835	  5.140
200.416	  4.840	  5.150
200.420	  4.850	  5.145
200.424	  4.855	  5.145
200.428	  4.835	  5.130
200.432	  4.835	  5.150
200.436	  4.850	  5.155
200.440	  4.850	  5.150
200.444	  4.840	  5.140
200.448	  4.840	  5.160
200.452	  4.860	  5.155
200.456	  4.850	  5.155
200.460	  4.845	  5.140
200.464	  4.820	  5.140
200.468	  4.835	  5.150
200.472	  4.845	  5.150
200.476	  4.830	  5.140
200.480	  4.815	  5.130
200.484	  4.815	  5.140
200.488	  4.825	  5.145
200.492	  4.815	  5.115
200.496	  4.805	  5.120
200.500	  4.795	  5.125
200.504	  4.825	  5.120
200.508	  4.820	  5.095
200.512	  4.795	  5.095
200.516	  4.810	  5.095
200.520	  4.820	  5.105
200.524	  4.820	  5.085
200.528	  4.800	  5.080
200.532	  4.810	  5.085
200.536	  4.815	  5.085
200.540	  4.815	  5.065
200.544	  4.810	  5.050
200.548	  4.795	  5.065
200.552	  4.805	  5.070
200.556	  4.795	  5.055
200.560	  4.800	  5.030
200.564	  4.790	  5.035
200.568	  4.795	  5.040
200.572	  4.790	  5.030
200.576	  4.795	  5.010
200.580	  4.795	  5.015
200.584	  4.800	  5.020
200.588	  4.805	  5.015
200.592	  4.805	  5.015
200.596	  4.790	  5.000
200.600	  4.795	  5.005
200.604	  4.805	  5.020
200.608	  4.795	  5.010
200.612	  4.795	  4.980
200.616	  4.790	  5.005
200.620	  4.810	  5.000
200.624	  4.800	  5.000
200.628	  4.795	  4.990
200.632	  4.800	  5.000
200.636	  4.805	  5.010
200.640	  4.805	  5.020
200.644	  4.795	  5.010
200.648	  4.790	  5.030
200.652	  4.790	  5.035
200.656	  4.790	  5.025
200.660	  4.780	  5.020
200.664	  4.780	  5.040
200.668	  4.785	  5.040
200.672	  4.785	  5.040
200.676	  4.785	  5.025
200.680	  4.800	  5.020
200.684	  4.820	  5.015
200.688	  4.825	  4.990
200.692	  4.830	  4.985
200.696	  4.825	  4.960
200.700	  4.835	  4.965
200.704	  4.855	  4.965
200.708	  4.865	  4.940
200.712	  4.850	  4.935
200.716	  4.850	  4.935
200.720	  4.860	  4.930
